Trade ID,Trade Date,Trade Time,Instrument,Symbol,Expiry Date,Strike,Option Type,Lot Size,Quantity,Buy Price,Sell Price,Buy Value,Sell Value,Gross P&L,Brokerage,STT,Exchange Charges,GST,SEBI Charges,Stamp Duty,Total Charges,Net P&L,Realized P&L %,Running Capital,Trade Duration,Market Regime,Trade Outcome
TRD0052,04-Dec-2025,11:01:10,SENSEX,SENSEX04DEC202576100PE,04-Dec-2025,76100,PE,10,1000,134.0,257.04,134000.0,257040.0,123040.0,78.21,160.65,19.55,17.6,0.39,4.02,280.42,122759.58,91.61,5051327.55,15m,SIDEWAYS,WIN
TRD0053,04-Dec-2025,14:00:20,BANKNIFTY,BANKNIFTY30DEC202552200PE,30-Dec-2025,52200,PE,15,690,515.0,319.8,355350.0,220662.0,-134688.0,115.2,137.91,28.8,25.92,0.58,10.66,319.07,-135007.07,-37.99,4916320.48,26m,SIDEWAYS,LOSS
TRD0054,05-Dec-2025,15:37:04,SENSEX,SENSEX11DEC202577600CE,11-Dec-2025,77600,CE,10,880,391.0,518.22,344080.0,456033.6,111953.6,160.02,285.02,40.01,36.01,0.8,10.32,532.18,111421.42,32.38,5027741.9,107m,SIDEWAYS,WIN
TRD0055,05-Dec-2025,09:32:27,BANKNIFTY,BANKNIFTY30DEC202552800CE,30-Dec-2025,52800,CE,15,645,482.0,260.89,310890.0,168274.05,-142615.95,95.83,105.17,23.96,21.56,0.48,9.33,256.33,-142872.28,-45.96,4884869.62,37m,SIDEWAYS,LOSS
TRD0056,05-Dec-2025,14:35:13,BANKNIFTY,BANKNIFTY30DEC202551600PE,30-Dec-2025,51600,PE,15,450,670.0,1017.04,301500.0,457668.0,156168.0,151.83,286.04,37.96,34.16,0.76,9.04,519.8,155648.2,51.62,5040517.82,199m,SIDEWAYS,WIN
TRD0057,08-Dec-2025,09:45:26,NIFTY,NIFTY09DEC202523800CE,09-Dec-2025,23800,CE,25,2500,48.5,22.71,121250.0,56775.0,-64475.0,35.61,35.48,8.9,8.01,0.18,3.64,91.82,-64566.82,-53.25,4975951.0,26m,SIDEWAYS,LOSS
TRD0058,08-Dec-2025,09:25:04,NIFTY,NIFTY09DEC202523350PE,09-Dec-2025,23350,PE,25,2500,47.5,67.81,118750.0,169525.0,50775.0,57.66,105.95,14.41,12.97,0.29,3.56,194.85,50580.15,42.59,5026531.15,68m,SIDEWAYS,WIN
TRD0059,09-Dec-2025,09:20:11,BANKNIFTY,BANKNIFTY30DEC202551600PE,30-Dec-2025,51600,PE,15,510,654.0,434.98,333540.0,221839.8,-111700.2,111.08,138.65,27.77,24.99,0.56,10.01,313.05,-112013.25,-33.58,4914517.9,26m,SIDEWAYS,LOSS
TRD0060,09-Dec-2025,11:26:47,NIFTY,NIFTY09DEC202523250PE,09-Dec-2025,23250,PE,25,2500,38.0,19.48,95000.0,48700.0,-46300.0,28.74,30.44,7.19,6.47,0.14,2.85,75.82,-46375.82,-48.82,4868142.08,38m,SIDEWAYS,LOSS
TRD0061,10-Dec-2025,12:55:54,BANKNIFTY,BANKNIFTY30DEC202551400PE,30-Dec-2025,51400,PE,15,630,616.0,841.61,388080.0,530214.3,142134.3,183.66,331.38,45.91,41.32,0.92,11.64,614.84,141519.46,36.47,5009661.54,70m,SIDEWAYS,WIN
TRD0062,10-Dec-2025,14:01:08,SENSEX,SENSEX11DEC202576800PE,11-Dec-2025,76800,PE,10,1000,171.0,255.48,171000.0,255480.0,84480.0,85.3,159.68,21.32,19.19,0.43,5.13,291.04,84188.96,49.23,5093850.5,23m,SIDEWAYS,WIN
TRD0063,11-Dec-2025,14:28:15,BANKNIFTY,BANKNIFTY30DEC202552000PE,30-Dec-2025,52000,PE,15,585,485.0,239.4,283725.0,140049.0,-143676.0,84.75,87.53,21.19,19.07,0.42,8.51,221.48,-143897.48,-50.72,4949953.02,55m,SIDEWAYS,LOSS
TRD0064,11-Dec-2025,11:35:49,NIFTY,NIFTY16DEC202524000CE,16-Dec-2025,24000,CE,25,2350,131.0,191.65,307850.0,450377.5,142527.5,151.65,281.49,37.91,34.12,0.76,9.24,515.16,142012.34,46.13,5091965.36,25m,SIDEWAYS,WIN
TRD0065,12-Dec-2025,12:44:48,BANKNIFTY,BANKNIFTY30DEC202552800CE,30-Dec-2025,52800,CE,15,870,462.0,588.2,401940.0,511734.0,109794.0,182.73,319.83,45.68,41.12,0.91,12.06,602.34,109191.66,27.17,5201157.02,43m,SIDEWAYS,WIN
TRD0066,12-Dec-2025,10:29:17,NIFTY,NIFTY16DEC202523500CE,16-Dec-2025,23500,CE,25,2500,93.0,110.1,232500.0,275250.0,42750.0,101.55,172.03,25.39,22.85,0.51,6.98,329.3,42420.7,18.25,5243577.72,95m,SIDEWAYS,WIN
TRD0067,15-Dec-2025,09:27:31,BANKNIFTY,BANKNIFTY30DEC202552400CE,30-Dec-2025,52400,CE,15,990,367.0,197.29,363330.0,195317.1,-168012.9,111.73,122.07,27.93,25.14,0.56,10.9,298.33,-168311.23,-46.32,5075266.49,48m,SIDEWAYS,LOSS
TRD0068,15-Dec-2025,10:26:23,NIFTY,NIFTY16DEC202523850CE,16-Dec-2025,23850,CE,25,2500,62.0,42.87,155000.0,107175.0,-47825.0,52.44,66.98,13.11,11.8,0.26,4.65,149.24,-47974.24,-30.95,5027292.25,48m,SIDEWAYS,LOSS
TRD0069,15-Dec-2025,10:52:12,NIFTY,NIFTY16DEC202523300PE,16-Dec-2025,23300,PE,25,2500,54.0,83.1,135000.0,207750.0,72750.0,68.55,129.84,17.14,15.42,0.34,4.05,235.35,72514.65,53.71,5099806.9,74m,SIDEWAYS,WIN
TRD0070,16-Dec-2025,11:42:03,SENSEX,SENSEX18DEC202577900CE,18-Dec-2025,77900,CE,10,1000,247.0,311.87,247000.0,311870.0,64870.0,111.77,194.92,27.94,25.15,0.56,7.41,367.75,64502.25,26.11,5164309.15,167m,SIDEWAYS,WIN
TRD0071,16-Dec-2025,09:43:57,NIFTY,NIFTY16DEC202523750CE,16-Dec-2025,23750,CE,25,2500,38.5,68.77,96250.0,171925.0,75675.0,53.64,107.45,13.41,12.07,0.27,2.89,189.72,75485.28,78.43,5239794.43,197m,SIDEWAYS,WIN
TRD0072,17-Dec-2025,09:39:53,SENSEX,SENSEX18DEC202578300CE,18-Dec-2025,78300,CE,10,1000,152.0,78.04,152000.0,78040.0,-73960.0,46.01,48.77,11.5,10.35,0.23,4.56,121.43,-74081.43,-48.74,5165713.0,28m,SIDEWAYS,LOSS
TRD0073,17-Dec-2025,09:28:24,BANKNIFTY,BANKNIFTY30DEC202553100CE,30-Dec-2025,53100,CE,15,945,387.0,178.45,365715.0,168635.25,-197079.75,106.87,105.4,26.72,24.05,0.53,10.97,274.54,-197354.29,-53.96,4968358.71,27m,SIDEWAYS,LOSS
TRD0074,17-Dec-2025,11:20:23,NIFTY,NIFTY23DEC202523800PE,23-Dec-2025,23800,PE,25,2500,142.0,80.18,355000.0,200450.0,-154550.0,111.09,125.28,27.77,25.0,0.56,10.65,300.34,-154850.34,-43.62,4813508.37,35m,SIDEWAYS,LOSS
TRD0075,18-Dec-2025,10:47:04,BANKNIFTY,BANKNIFTY30DEC202551700PE,30-Dec-2025,51700,PE,15,1215,326.0,495.66,396090.0,602226.9,206136.9,199.66,376.39,49.92,44.92,1.0,11.88,683.78,205453.12,51.87,5018961.49,170m,SIDEWAYS,WIN
TRD0076,18-Dec-2025,09:53:58,NIFTY,NIFTY23DEC202523950CE,23-Dec-2025,23950,CE,25,2500,129.0,165.38,322500.0,413450.0,90950.0,147.19,258.41,36.8,33.12,0.74,9.68,485.92,90464.08,28.05,5109425.57,177m,SIDEWAYS,WIN
TRD0077,19-Dec-2025,10:27:52,SENSEX,SENSEX24DEC202578400CE,24-Dec-2025,78400,CE,10,610,462.0,611.23,281820.0,372850.3,91030.3,130.93,233.03,32.73,29.46,0.65,8.45,435.27,90595.03,32.15,5200020.6,141m,SIDEWAYS,WIN
TRD0078,19-Dec-2025,12:20:55,BANKNIFTY,BANKNIFTY30DEC202552900CE,30-Dec-2025,52900,CE,15,690,431.0,631.82,297390.0,435955.8,138565.8,146.67,272.47,36.67,33.0,0.73,8.92,498.46,138067.34,46.43,5338087.94,96m,SIDEWAYS,WIN
TRD0079,19-Dec-2025,12:30:35,BANKNIFTY,BANKNIFTY30DEC202552700CE,30-Dec-2025,52700,CE,15,1110,373.0,496.41,414030.0,551015.1,136985.1,193.01,344.38,48.25,43.43,0.97,12.42,642.46,136342.64,32.93,5474430.58,154m,SIDEWAYS,WIN
TRD0080,22-Dec-2025,13:28:11,SENSEX,SENSEX24DEC202578500CE,24-Dec-2025,78500,CE,10,1000,206.0,118.53,206000.0,118530.0,-87470.0,64.91,74.08,16.23,14.6,0.32,6.18,176.32,-87646.32,-42.55,5386784.26,19m,SIDEWAYS,LOSS
TRD0081,22-Dec-2025,14:18:17,BANKNIFTY,BANKNIFTY30DEC202552900CE,30-Dec-2025,52900,CE,15,870,381.0,466.66,331470.0,405994.2,74524.2,147.49,253.75,36.87,33.19,0.74,9.94,481.98,74042.22,22.34,5460826.48,160m,SIDEWAYS,WIN
TRD0082,23-Dec-2025,12:20:04,NIFTY,NIFTY23DEC202523450PE,23-Dec-2025,23450,PE,25,2500,33.5,63.94,83750.0,159850.0,76100.0,48.72,99.91,12.18,10.96,0.24,2.51,174.52,75925.48,90.66,5536751.96,116m,SIDEWAYS,WIN
TRD0083,23-Dec-2025,09:29:53,NIFTY,NIFTY23DEC202523900CE,23-Dec-2025,23900,CE,25,2500,31.5,41.39,78750.0,103475.0,24725.0,36.45,64.67,9.11,8.2,0.18,2.36,120.97,24604.03,31.24,5561355.99,129m,SIDEWAYS,WIN
TRD0084,24-Dec-2025,09:47:55,NIFTY,NIFTY30DEC202523950CE,30-Dec-2025,23950,CE,25,2375,135.0,169.0,320625.0,401375.0,80750.0,144.4,250.86,36.1,32.49,0.72,9.62,474.19,80275.81,25.04,5641631.8,60m,SIDEWAYS,WIN
TRD0085,24-Dec-2025,10:09:02,NIFTY,NIFTY30DEC202523950CE,30-Dec-2025,23950,CE,25,2500,135.0,170.17,337500.0,425425.0,87925.0,152.59,265.89,38.15,34.33,0.76,10.12,501.84,87423.16,25.9,5729054.96,67m,SIDEWAYS,WIN
TRD0086,24-Dec-2025,12:04:13,NIFTY,NIFTY30DEC202524150CE,30-Dec-2025,24150,CE,25,2500,149.0,90.45,372500.0,226125.0,-146375.0,119.73,141.33,29.93,26.94,0.6,11.18,329.7,-146704.7,-39.38,5582350.26,7m,SIDEWAYS,LOSS
TRD0087,26-Dec-2025,13:25:44,NIFTY,NIFTY30DEC202523550CE,30-Dec-2025,23550,CE,25,2500,113.0,64.01,282500.0,160025.0,-122475.0,88.51,100.02,22.13,19.91,0.44,8.47,239.48,-122714.48,-43.44,5459635.78,22m,SIDEWAYS,LOSS
TRD0088,26-Dec-2025,11:01:55,NIFTY,NIFTY30DEC202523050PE,30-Dec-2025,23050,PE,25,2500,86.0,129.6,215000.0,324000.0,109000.0,107.8,202.5,26.95,24.25,0.54,6.45,368.49,108631.51,50.53,5568267.29,108m,SIDEWAYS,WIN
TRD0089,26-Dec-2025,14:25:36,NIFTY,NIFTY30DEC202523100PE,30-Dec-2025,23100,PE,25,2500,84.0,49.9,210000.0,124750.0,-85250.0,66.95,77.97,16.74,15.06,0.33,6.3,183.35,-85433.35,-40.68,5482833.94,28m,SIDEWAYS,LOSS
TRD0090,29-Dec-2025,10:32:10,NIFTY,NIFTY30DEC202524000CE,30-Dec-2025,24000,CE,25,2500,62.0,87.43,155000.0,218575.0,63575.0,74.72,136.61,18.68,16.81,0.37,4.65,251.84,63323.16,40.85,5546157.1,52m,SIDEWAYS,WIN
TRD0091,29-Dec-2025,15:12:19,NIFTY,NIFTY30DEC202524050CE,30-Dec-2025,24050,CE,25,2500,45.5,67.24,113750.0,168100.0,54350.0,56.37,105.06,14.09,12.68,0.28,3.41,191.9,54158.1,47.61,5600315.2,47m,SIDEWAYS,WIN
TRD0092,30-Dec-2025,12:52:57,SENSEX,SENSEX01JAN202676800PE,01-Jan-2026,76800,PE,10,1000,285.0,431.65,285000.0,431650.0,146650.0,143.33,269.78,35.83,32.25,0.72,8.55,490.46,146159.54,51.28,5746474.74,56m,SIDEWAYS,WIN
