Trade Date,Symbol,Quantity,Buy Value,Sell Value,Realized P&L,Charges,Net P&L,Realized P&L Pct
2025-12-10,NIFTY25DEC23800PE,9660,4221046.17,4241188.5,20142.32,10476.5,9665.82,0.23
2025-12-10,BANKNIFTY25DEC53200PE,2607,4082495.58,4064737.69,-17757.89,10065.61,-27823.5,-0.68
2025-12-10,NIFTY25DEC25600CE,7805,4387309.39,4430726.44,43417.05,10928.69,32488.36,0.74
2025-12-11,NIFTY25DEC22100CE,4256,4772363.63,4731242.52,-41121.11,11721.06,-52842.17,-1.11
2025-12-11,NIFTY25DEC25300PE,9531,4488628.83,4450499.13,-38129.7,11028.01,-49157.71,-1.1
2025-12-11,NIFTY25DEC23000PE,8590,4189299.21,4181956.23,-7342.98,10347.74,-17690.72,-0.42
2025-12-12,NIFTY25DEC23100PE,5558,4157368.08,4186414.61,29046.53,10336.11,18710.42,0.45
2025-12-12,BANKNIFTY25DEC48200CE,1913,4965855.1,4995234.51,29379.4,12327.22,17052.18,0.34
2025-12-12,SENSEX25DEC77600CE,1728,4421658.8,4429094.81,7436.02,10947.01,-3510.99,-0.08
2025-12-12,NIFTY25DEC24700CE,7390,4194236.01,4153565.36,-40670.65,10298.53,-50969.18,-1.22
2025-12-15,SENSEX25DEC75300PE,2605,4803814.46,4844497.29,40682.83,11949.09,28733.74,0.6
2025-12-15,SENSEX25DEC84500PE,3587,4149154.64,4164466.84,15312.2,10290.61,5021.59,0.12
2025-12-15,NIFTY25DEC22600PE,3015,4526121.63,4532891.03,6769.4,11202.97,-4433.57,-0.1
2025-12-15,NIFTY25DEC25300CE,4672,4183032.59,4154889.03,-28143.55,10294.01,-38437.56,-0.92
2025-12-16,SENSEX25DEC77700CE,1787,4237518.28,4195802.12,-41716.16,10403.17,-52119.33,-1.23
2025-12-16,SENSEX25DEC79600CE,2853,4494355.65,4500103.2,5747.55,11122.88,-5375.33,-0.12
2025-12-16,SENSEX25DEC85000PE,1835,4242248.4,4221700.87,-20547.53,10453.79,-31001.32,-0.73
2025-12-17,SENSEX25DEC75800CE,2977,4799005.49,4835101.0,36095.51,11928.8,24166.71,0.5
2025-12-17,BANKNIFTY25DEC52000CE,7488,4876478.38,4926076.64,49598.26,12144.4,37453.86,0.77
2025-12-17,SENSEX25DEC82100CE,3110,4626900.73,4657844.35,30943.62,11495.6,19448.02,0.42
2025-12-18,BANKNIFTY25DEC52800CE,9009,4765942.78,4730825.73,-35117.05,11716.3,-46833.35,-0.98
2025-12-18,BANKNIFTY25DEC51600CE,4894,4717930.71,4753087.55,35156.85,11727.47,23429.38,0.5
2025-12-18,SENSEX25DEC75400CE,5114,4182327.51,4178177.98,-4149.52,10336.45,-14485.97,-0.35
2025-12-19,BANKNIFTY25DEC48700PE,9906,4479506.65,4484849.93,5343.28,11085.58,-5742.3,-0.13
2025-12-19,BANKNIFTY25DEC49500PE,5148,4970419.45,4955767.79,-14651.66,12257.4,-26909.06,-0.54
2025-12-22,NIFTY25DEC24000CE,9596,4338774.0,4297788.99,-40985.01,10653.81,-51638.82,-1.19
2025-12-22,SENSEX25DEC84900PE,9614,4103242.98,4129480.49,26237.51,10197.69,16039.82,0.39
2025-12-23,NIFTY25DEC22100PE,9604,4803744.31,4779607.23,-24137.09,11829.58,-35966.67,-0.75
2025-12-23,BANKNIFTY25DEC53900CE,2782,4925305.78,4918262.26,-7043.51,12160.34,-19203.85,-0.39
2025-12-23,SENSEX25DEC81800PE,3277,4461936.41,4497248.25,35311.84,11097.5,24214.34,0.54
2025-12-23,SENSEX25DEC75800CE,5679,4807205.55,4827397.49,20191.93,11919.71,8272.22,0.17
2025-12-24,BANKNIFTY25DEC48500CE,3975,4551805.7,4573461.73,21656.03,11293.61,10362.42,0.23
2025-12-24,SENSEX25DEC81300CE,5347,4999008.53,4984641.63,-14366.9,12328.31,-26695.21,-0.53
2025-12-24,NIFTY25DEC23200PE,7747,4225686.53,4253724.09,28037.56,10502.46,17535.1,0.41
2025-12-24,SENSEX25DEC77200PE,6587,4545335.21,4593631.93,48296.72,11326.73,36969.99,0.81
2025-12-26,SENSEX25DEC80900CE,7187,4886244.88,4872096.26,-14148.62,12051.09,-26199.71,-0.54
2025-12-26,BANKNIFTY25DEC52400PE,6209,4026264.69,4019135.71,-7128.98,9946.74,-17075.72,-0.42
2025-12-26,SENSEX25DEC83500CE,3167,4718091.25,4746182.95,28091.7,11714.86,16376.84,0.35
2025-12-26,SENSEX25DEC80300PE,9996,4306850.12,4317737.0,10886.88,10670.71,216.17,0.01
2025-12-29,NIFTY25DEC23400PE,8763,4844797.62,4858285.25,13487.63,11999.92,1487.71,0.03
2025-12-29,BANKNIFTY25DEC49600PE,4711,4324362.06,4350807.56,26445.5,10742.47,15703.03,0.36
2025-12-29,BANKNIFTY25DEC53200CE,9904,4320771.33,4309685.86,-11085.48,10664.53,-21750.01,-0.5
2025-12-30,BANKNIFTY25DEC50300CE,7929,4376102.26,4425229.26,49127.0,10911.61,38215.39,0.87
2025-12-30,BANKNIFTY25DEC51000PE,9123,4581431.13,4599315.97,17884.84,11359.61,6525.23,0.14
2025-12-30,NIFTY25DEC22600CE,1098,4079022.53,4100190.67,21168.15,10128.72,11039.43,0.27
2025-12-31,NIFTY25DEC23500PE,4645,4198627.23,4150774.31,-47852.93,10296.12,-58149.05,-1.38
2025-12-31,BANKNIFTY25DEC48400PE,5161,4965948.3,4942245.17,-23703.13,12229.73,-35932.86,-0.72
2026-01-01,BANKNIFTY26JAN51000PE,2109,4046494.54,4010977.96,-35516.58,9944.28,-45460.86,-1.12
2026-01-01,NIFTY26JAN23300CE,9703,4691269.92,4727909.91,36639.99,11664.56,24975.43,0.53
2026-01-01,SENSEX26JAN82000CE,6026,4115431.18,4081103.99,-34327.19,10116.2,-44443.39,-1.08
2026-01-01,SENSEX26JAN77900CE,7875,4837599.62,4865396.81,27797.19,12008.54,15788.65,0.33
2026-01-02,BANKNIFTY26JAN53600PE,8844,4948178.15,4963503.48,15325.33,12257.83,3067.5,0.06
2026-01-02,SENSEX26JAN84300PE,3732,4318615.52,4348733.59,30118.07,10735.08,19382.99,0.45
2026-01-05,BANKNIFTY26JAN49200PE,9714,4260722.88,4271006.38,10283.5,10556.03,-272.53,-0.01
2026-01-05,NIFTY26JAN22000PE,8319,4052947.67,4067326.43,14378.76,10052.03,4326.73,0.11
2026-01-05,BANKNIFTY26JAN50500CE,8302,4821092.05,4846106.25,25014.2,11962.78,13051.42,0.27
2026-01-05,NIFTY26JAN25900PE,4726,4981786.33,4934729.68,-47056.65,12225.73,-59282.38,-1.19
2026-01-06,SENSEX26JAN82500CE,4643,4740400.36,4787095.8,46695.44,11804.03,34891.41,0.74
2026-01-06,SENSEX26JAN84600CE,8824,4901662.53,4901778.49,115.96,12115.31,-11999.35,-0.24
2026-01-06,NIFTY26JAN24300CE,3113,4658111.61,4624067.14,-34044.48,11452.79,-45497.27,-0.98
2026-01-07,NIFTY26JAN25200CE,3107,4124503.26,4088811.89,-35691.38,10136.02,-45827.4,-1.11
2026-01-07,BANKNIFTY26JAN48100PE,2816,4413452.49,4363890.32,-49562.17,10821.88,-60384.05,-1.37
2026-01-07,SENSEX26JAN82200PE,9537,4961174.1,4986100.25,24926.15,12307.5,12618.65,0.25
2026-01-08,NIFTY26JAN25600CE,2613,4906612.34,4932902.65,26290.31,12175.68,14114.63,0.29
2026-01-08,NIFTY26JAN23100PE,6908,4446924.69,4494713.66,47788.97,11083.51,36705.46,0.83
2026-01-08,SENSEX26JAN84300CE,2717,4104826.71,4095180.98,-9645.73,10135.53,-19781.26,-0.48
2026-01-09,SENSEX26JAN75800CE,7492,4135334.13,4126155.54,-9178.58,10211.49,-19390.07,-0.47
2026-01-09,BANKNIFTY26JAN53100CE,2934,4079480.59,4101451.88,21971.29,10131.33,11839.96,0.29
2026-01-09,BANKNIFTY26JAN51500PE,2730,4415283.54,4441156.38,25872.84,10965.26,14907.58,0.34
2026-01-09,NIFTY26JAN25200CE,4950,4738212.19,4706535.04,-31677.15,11654.36,-43331.51,-0.91
2026-01-12,BANKNIFTY26JAN49800PE,5057,4973150.46,4986967.14,13816.68,12316.53,1500.15,0.03
2026-01-12,SENSEX26JAN77900CE,2760,4979967.89,5029952.2,49984.31,12399.9,37584.41,0.75
2026-01-12,BANKNIFTY26JAN53900CE,6789,4610092.86,4599307.86,-10784.99,11377.39,-22162.38,-0.48
2026-01-13,SENSEX26JAN83600PE,2801,4451591.72,4452065.12,473.4,11007.89,-10534.49,-0.24
2026-01-13,BANKNIFTY26JAN50100PE,2413,4224195.24,4212048.77,-12146.47,10424.81,-22571.28,-0.53
2026-01-14,BANKNIFTY26JAN48300PE,9343,4727442.82,4706604.51,-20838.31,11647.8,-32486.11,-0.69
2026-01-14,NIFTY26JAN22000PE,3350,4774259.35,4732611.59,-41647.76,11724.75,-53372.51,-1.12
2026-01-14,BANKNIFTY26JAN53200CE,4697,4293765.27,4297562.06,3796.79,10625.44,-6828.65,-0.16
2026-01-14,BANKNIFTY26JAN51300CE,6179,4379934.39,4407704.23,27769.84,10881.72,16888.12,0.39
2026-01-15,SENSEX26JAN78900PE,5980,4327826.79,4279756.65,-48070.14,10613.81,-58683.95,-1.36
2026-01-15,NIFTY26JAN24000PE,3252,4679066.93,4695463.63,16396.69,11597.25,4799.44,0.1
2026-01-15,NIFTY26JAN24900CE,5864,4542313.34,4522788.73,-19524.61,11194.43,-30719.04,-0.68
2026-01-15,SENSEX26JAN75900CE,2431,4886000.69,4850945.45,-35055.24,12012.0,-47067.24,-0.96
2026-01-16,SENSEX26JAN76400PE,9601,4770969.63,4738286.43,-32683.2,11733.16,-44416.36,-0.93
2026-01-16,NIFTY26JAN22200PE,4331,4586443.05,4580253.41,-6189.64,11327.63,-17517.27,-0.38
2026-01-16,NIFTY26JAN25300PE,4908,4333399.61,4294077.8,-39321.81,10643.64,-49965.45,-1.15
2026-01-19,NIFTY26JAN23800PE,1871,4713038.74,4672225.03,-40813.71,11575.56,-52389.27,-1.11
2026-01-19,BANKNIFTY26JAN50100PE,3656,4406003.28,4447434.4,41431.12,10971.05,30460.07,0.69
2026-01-19,SENSEX26JAN81500CE,8325,4512335.15,4561653.99,49318.84,11247.37,38071.47,0.84
2026-01-20,BANKNIFTY26JAN52600PE,5641,4802200.36,4775868.85,-26331.51,11821.74,-38153.25,-0.79
2026-01-20,BANKNIFTY26JAN51100CE,6829,4519312.39,4551791.78,32479.39,11233.54,21245.85,0.47
2026-01-21,NIFTY26JAN23100PE,9048,4777988.7,4774866.26,-3122.44,11804.86,-14927.3,-0.31
2026-01-21,NIFTY26JAN22400PE,7022,4529887.72,4555115.41,25227.68,11246.23,13981.45,0.31
2026-01-21,SENSEX26JAN84800PE,5309,4166734.68,4172655.01,5920.33,10316.6,-4396.27,-0.11
2026-01-21,SENSEX26JAN78400CE,2449,4686966.3,4726904.35,39938.04,11660.04,28278.0,0.6
2026-01-22,SENSEX26JAN82100CE,9098,4197405.16,4219691.39,22286.23,10422.24,11863.99,0.28
2026-01-22,SENSEX26JAN81200PE,9257,4334261.05,4319037.41,-15223.63,10690.12,-25913.75,-0.6
2026-01-22,BANKNIFTY26JAN49700PE,2160,4084684.78,4072625.29,-12059.49,10081.49,-22140.98,-0.54
2026-01-23,SENSEX26JAN77300CE,8334,4397147.82,4353388.17,-43759.65,10792.42,-54552.07,-1.24
2026-01-23,SENSEX26JAN80900PE,8508,4554572.82,4506408.57,-48164.25,11171.89,-59336.14,-1.3
2026-01-27,NIFTY26JAN24200CE,9446,4415203.32,4368731.3,-46472.02,10831.88,-57303.9,-1.3
2026-01-27,NIFTY26JAN25200PE,3489,4407390.81,4393816.86,-13573.95,10873.21,-24447.16,-0.55
2026-01-28,SENSEX26JAN79400CE,2923,4667559.82,4677941.74,10381.92,11557.85,-1175.93,-0.03
2026-01-28,NIFTY26JAN23400PE,6105,4430023.42,4443995.12,13971.71,10979.64,2992.07,0.07
2026-01-28,BANKNIFTY26JAN48200PE,2630,4474735.63,4514134.64,39399.01,11136.53,28262.48,0.63
2026-01-29,NIFTY26JAN24300CE,7369,4996990.95,4968669.16,-28321.79,12297.65,-40619.44,-0.81
2026-01-29,NIFTY26JAN24500CE,7874,4758774.8,4763517.68,4742.88,11772.04,-7029.16,-0.15
2026-01-30,BANKNIFTY26JAN49700CE,4737,4276466.88,4311602.95,35136.07,10640.55,24495.52,0.57
2026-01-30,NIFTY26JAN24600CE,4105,4957922.11,4961689.5,3767.39,12260.54,-8493.15,-0.17
2026-01-30,SENSEX26JAN85000PE,1638,4551912.21,4553439.46,1527.25,11256.82,-9729.57,-0.21
2026-02-02,SENSEX26FEB81400CE,5746,4231460.06,4275821.78,44361.73,10546.72,33815.01,0.8
2026-02-02,BANKNIFTY26FEB51900PE,1273,4784420.65,4832466.42,48045.77,11914.9,36130.87,0.76
2026-02-03,NIFTY26FEB23900PE,4908,4674470.09,4719581.24,45111.15,11638.79,33472.36,0.72
2026-02-03,BANKNIFTY26FEB50700PE,6720,4330343.55,4306565.84,-23777.71,10664.73,-34442.44,-0.8
2026-02-03,BANKNIFTY26FEB51500CE,1715,4391195.94,4413664.62,22468.68,10899.69,11568.99,0.26
2026-02-04,SENSEX26FEB79100CE,8450,4967480.04,5011054.8,43574.76,12357.36,31217.4,0.63
2026-02-04,NIFTY26FEB22500CE,4373,4918611.32,4916736.38,-1874.94,12153.37,-14028.31,-0.29
2026-02-05,SENSEX26FEB76500CE,4926,4753126.01,4743235.4,-9890.61,11731.19,-21621.8,-0.45
2026-02-05,SENSEX26FEB84100PE,2520,4312873.13,4272262.81,-40610.32,10590.73,-51201.05,-1.19
2026-02-05,SENSEX26FEB79100PE,7906,4272061.6,4239645.99,-32415.61,10505.34,-42920.95,-1.0
2026-02-06,NIFTY26FEB24300PE,9341,4517874.49,4502917.25,-14957.24,11142.67,-26099.91,-0.58
2026-02-06,SENSEX26FEB83200CE,6336,4262553.56,4272245.68,9692.12,10559.45,-867.33,-0.02
2026-02-09,SENSEX26FEB83200CE,4024,4228381.38,4238045.2,9663.82,10475.27,-811.45,-0.02
2026-02-09,NIFTY26FEB22600CE,5838,4865297.47,4872824.7,7527.23,12039.42,-4512.19,-0.09
2026-02-10,SENSEX26FEB78900PE,1205,4237442.58,4225683.74,-11758.84,10458.14,-22216.98,-0.52
2026-02-10,NIFTY26FEB24100PE,9158,4115113.0,4116878.96,1765.96,10181.86,-8415.9,-0.2
2026-02-10,BANKNIFTY26FEB49200PE,8602,4968191.27,4960263.63,-7927.63,12264.29,-20191.92,-0.41
2026-02-11,SENSEX26FEB82800CE,3399,4349567.12,4337632.7,-11934.41,10733.86,-22668.27,-0.52
2026-02-11,BANKNIFTY26FEB51700CE,5309,4448155.07,4414941.61,-33213.46,10937.41,-44150.87,-0.99
2026-02-11,BANKNIFTY26FEB51700CE,1741,4320887.55,4367207.13,46319.58,10770.5,35549.08,0.82
2026-02-12,BANKNIFTY26FEB52000CE,6007,4934429.98,4909051.78,-25378.2,12149.05,-37527.25,-0.76
2026-02-12,NIFTY26FEB24700CE,9047,4151851.98,4124780.75,-27071.22,10219.22,-37290.44,-0.9
2026-02-12,NIFTY26FEB24500PE,5568,4271440.9,4271426.59,-14.31,10563.46,-10577.77,-0.25
2026-02-12,NIFTY26FEB23600PE,8483,4588590.12,4582887.79,-5702.33,11333.81,-17036.14,-0.37
2026-02-13,SENSEX26FEB84300CE,2078,4623948.48,4636521.87,12573.39,11454.51,1118.88,0.02
2026-02-13,SENSEX26FEB82000PE,7953,4111727.45,4125625.58,13898.13,10195.86,3702.27,0.09
2026-02-16,NIFTY26FEB24500PE,7667,4373256.32,4379216.16,5959.84,10825.13,-4865.29,-0.11
2026-02-16,NIFTY26FEB24700PE,8671,4241814.88,4217322.64,-24492.24,10445.46,-34937.7,-0.82
2026-02-16,BANKNIFTY26FEB52100CE,9541,4289133.38,4242625.69,-46507.68,10521.43,-57029.11,-1.33
2026-02-17,SENSEX26FEB79400PE,3541,4981489.26,4971524.01,-9965.25,12293.28,-22258.53,-0.45
2026-02-17,BANKNIFTY26FEB48100CE,2326,4068984.47,4074683.49,5699.02,10075.53,-4376.51,-0.11
2026-02-17,BANKNIFTY26FEB53000PE,7130,4625781.68,4634228.66,8446.99,11451.43,-3004.44,-0.06
2026-02-17,SENSEX26FEB77600CE,6483,4189561.85,4185265.7,-4296.15,10353.99,-14650.14,-0.35
2026-02-18,BANKNIFTY26FEB48900PE,6715,4991997.94,4961441.71,-30556.23,12281.24,-42837.47,-0.86
2026-02-18,NIFTY26FEB24500PE,7197,4439747.01,4403924.54,-35822.47,10911.91,-46734.38,-1.05
2026-02-18,NIFTY26FEB22500PE,1548,4224128.75,4196222.51,-27906.25,10395.63,-38301.88,-0.91
2026-02-19,BANKNIFTY26FEB53500PE,2304,4465935.17,4420935.18,-44999.99,10959.49,-55959.48,-1.25
2026-02-19,BANKNIFTY26FEB49100PE,5629,4021001.41,4018742.68,-2258.73,9942.75,-12201.48,-0.3
2026-02-19,NIFTY26FEB22200CE,2138,4697936.48,4717453.07,19516.59,11649.45,7867.14,0.17
2026-02-20,NIFTY26FEB22600CE,8564,4441112.59,4404989.91,-36122.68,10914.72,-47037.4,-1.06
2026-02-20,BANKNIFTY26FEB50800PE,8780,4834789.19,4850914.37,16125.18,11980.14,4145.04,0.09
2026-02-20,BANKNIFTY26FEB51400CE,7755,4766810.6,4732673.93,-34136.66,11720.24,-45856.9,-0.96
2026-02-20,SENSEX26FEB85000PE,7906,4618049.68,4650774.88,32725.2,11477.09,21248.11,0.46
2026-02-23,SENSEX26FEB77900PE,3876,4075432.71,4122920.56,47487.85,10168.34,37319.51,0.92
2026-02-23,NIFTY26FEB22300PE,3035,4143777.63,4129539.26,-14238.37,10222.97,-24461.34,-0.59
2026-02-23,NIFTY26FEB22800CE,3490,4555645.39,4601461.13,45815.74,11347.55,34468.19,0.76
2026-02-23,BANKNIFTY26FEB52600PE,9969,4776743.77,4789610.61,12866.85,11831.23,1035.62,0.02
2026-02-24,BANKNIFTY26FEB49700PE,3099,4461133.84,4418871.54,-42262.3,10952.71,-53215.01,-1.19
2026-02-24,BANKNIFTY26FEB50400CE,6624,4684428.67,4728181.43,43752.76,11660.81,32091.95,0.69
2026-02-24,BANKNIFTY26FEB53100PE,8050,4158195.71,4189362.05,31166.34,10342.06,20824.28,0.5
2026-02-24,BANKNIFTY26FEB53600CE,4234,4425978.66,4418703.72,-7274.94,10930.57,-18205.51,-0.41
